ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,profile,rec_ids
533,둔감,수용적,보통,매우 정확,무조건 리드,4,둔감,꽤 빡빡하게,해외,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"그 외,세계일주,국내","더움,상관없음,습함","미식,사람&관계,기록","4-5성급호텔,민박,콘도",오전 9-10시,200-300만원,"이 사용자는 국내 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
534,보통,수용적,매우 많다,자주 늦음,무조건 따름,1,매우 민감,보통,국내,산,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"세계일주,동남아,중국&몽골","상관없음,습함,건조함","기록,휴식,액티비티","에어비엔비,게스트하우스,펜션",오전 8-9시,300-400만원,"이 사용자는 동남아 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 게스트하우스에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
535,둔감,매우 수용적,보통,자주 늦음,보통,2,보통,보통,국내,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"동남아,유럽,중국&몽골","습함,더움,상관없음","자연감상,공연&경기관람,기록","에어비엔비,펜션,4-5성급호텔",오전 8-9시,200-300만원,"이 사용자는 동남아 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
536,꽤 민감,매우 수용적,매우 적다,보통,무조건 따름,2,매우 민감,꽤 여유있게,해외,바다,계획 여행,적당히 봄,코골이 함,기다림,"세계일주,그 외,일본","건조함,습함,상관없음","기록,미식,휴식","에어비엔비,4-5성급호텔,펜션",오전 9-10시,100만원 이하,"이 사용자는 세계일주 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 에어비엔비에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
537,매우 둔감,다소 완고,많다,매우 정확,따르는 편,3,매우 민감,꽤 빡빡하게,해외,산,계획 여행,적당히 봄,코골이 안함,기다림,"세계일주,미국,동남아","더움,건조함,습함","공연&경기관람,액티비티,쇼핑","게스트하우스,펜션,민박",오전 8-9시,200-300만원,"이 사용자는 세계일주 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
538,보통,수용적,적다,자주 늦음,리드하는편,1,꽤 민감,매우 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 함,다른 곳 간다,"동남아,일본,미국","쌀쌀함,상관없음,더움","도전과성장,기록,사람&관계","콘도,민박,상관없음",오전 10시 이후,400만원 이상,"이 사용자는 일본 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
539,매우 둔감,매우 완고,적다,종종 늦음,따르는 편,1,보통,매우 빡빡하게,해외,바다,계획 여행,적당히 봄,코골이 함,기다림,"유럽,동남아,세계일주","상관없음,쌀쌀함,추움","미식,액티비티,쇼핑","펜션,4-5성급호텔,3성이하 호텔",오전 9-10시,100만원 이하,"이 사용자는 유럽 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
540,매우 민감,수용적,적다,종종 늦음,리드하는편,1,보통,매우 여유있게,국내,산,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"유럽,미국,동남아","추움,상관없음,습함","휴식,도전과성장,사람&관계","펜션,민박,에어비엔비",오전 8-9시,200-300만원,"이 사용자는 유럽 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 민박에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
541,둔감,보통,보통,매우 정확,리드하는편,1,매우 둔감,매우 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"중국&몽골,국내,동남아","습함,쌀쌀함,건조함","문화&역사체험,사람&관계,도전과성장","4-5성급호텔,3성이하 호텔,게스트하우스",오전 9-10시,400만원 이상,"이 사용자는 중국&몽골 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
542,매우 둔감,매우 완고,많다,매우 정확,리드하는편,4,꽤 민감,매우 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"유럽,그 외,세계일주","상관없음,추움,습함","문화&역사체험,도전과성장,사람&관계","콘도,펜션,상관없음",오전 8-9시,200-300만원,"이 사용자는 그 외 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
543,매우 둔감,매우 완고,매우 많다,꽤 정확,리드하는편,4,매우 둔감,매우 빡빡하게,국내,산,계획 여행,무조건 다 봄,코골이 함,기다림,"그 외,중국&몽골,동남아","추움,더움,건조함","자연감상,액티비티,쇼핑","민박,콘도,3성이하 호텔",오전 9-10시,200-300만원,"이 사용자는 중국&몽골 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
544,매우 민감,수용적,매우 많다,종종 늦음,무조건 따름,3,매우 둔감,꽤 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"유럽,미국,일본","추움,건조함,더움","휴식,문화&역사체험,공연&경기관람","게스트하우스,콘도,3성이하 호텔",오전 8-9시,400만원 이상,"이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 게스트하우스에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
545,꽤 민감,매우 완고,매우 적다,종종 늦음,보통,4,보통,매우 여유있게,해외,바다,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"국내,그 외,일본","쌀쌀함,추움,습함","액티비티,휴식,미식","펜션,상관없음,에어비엔비",오전 10시 이후,300-400만원,"이 사용자는 국내 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 펜션에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
546,꽤 민감,수용적,매우 적다,매우 정확,보통,4,매우 둔감,매우 빡빡하게,국내,산,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"그 외,세계일주,일본","더움,상관없음,쌀쌀함","미식,공연&경기관람,쇼핑","펜션,게스트하우스,4-5성급호텔",오전 10시 이후,200-300만원,"이 사용자는 그 외 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
547,둔감,수용적,매우 많다,자주 늦음,무조건 리드,2,둔감,꽤 여유있게,해외,산,즉흥 여행,적당히 봄,코골이 안함,기다림,"국내,세계일주,중국&몽골","건조함,쌀쌀함,상관없음","기록,휴식,사람&관계","상관없음,4-5성급호텔,게스트하우스",오전 9-10시,100만원 이하,"이 사용자는 국내 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 기록이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",
548,매우 민감,보통,많다,매우 정확,따르는 편,3,보통,보통,국내,산,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"국내,중국&몽골,일본","상관없음,추움,더움","휴식,미식,쇼핑","4-5성급호텔,펜션,3성이하 호텔",오전 8-9시,200-300만원,"이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 미식이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
549,매우 민감,수용적,매우 많다,꽤 정확,무조건 리드,4,꽤 민감,꽤 여유있게,국내,산,즉흥 여행,적당히 봄,코골이 안함,기다림,"미국,동남아,유럽","추움,건조함,습함","휴식,자연감상,미식","민박,3성이하 호텔,콘도",오전 10시 이후,200-300만원,"이 사용자는 유럽 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
550,꽤 민감,보통,적다,보통,무조건 따름,3,매우 민감,꽤 여유있게,국내,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"유럽,그 외,일본","습함,추움,더움","사람&관계,쇼핑,자연감상","펜션,4-5성급호텔,게스트하우스",오전 8-9시,300-400만원,"이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
551,매우 둔감,매우 수용적,매우 적다,꽤 정확,따르는 편,5,매우 민감,매우 여유있게,해외,산,즉흥 여행,적당히 봄,코골이 안함,기다림,"동남아,유럽,미국","쌀쌀함,건조함,습함","공연&경기관람,사람&관계,쇼핑","펜션,3성이하 호텔,4-5성급호텔",오전 8-9시,400만원 이상,"이 사용자는 동남아 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
552,둔감,다소 완고,보통,자주 늦음,보통,3,매우 둔감,매우 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"국내,세계일주,유럽","추움,더움,건조함","자연감상,기록,도전과성장","펜션,콘도,게스트하우스",오전 10시 이후,400만원 이상,"이 사용자는 세계일주 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
553,매우 둔감,매우 완고,매우 적다,꽤 정확,따르는 편,5,보통,꽤 빡빡하게,국내,산,즉흥 여행,적당히 봄,코골이 안함,기다림,"세계일주,동남아,그 외","쌀쌀함,상관없음,더움","사람&관계,미식,자연감상","펜션,4-5성급호텔,게스트하우스",오전 8-9시,200-300만원,"이 사용자는 그 외 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 미식이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
554,보통,보통,적다,꽤 정확,리드하는편,1,매우 둔감,매우 여유있게,해외,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"국내,동남아,유럽","쌀쌀함,더움,상관없음","도전과성장,액티비티,기록","펜션,민박,4-5성급호텔",오전 10시 이후,400만원 이상,"이 사용자는 국내 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 펜션에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
555,둔감,보통,매우 적다,매우 정확,보통,1,매우 둔감,보통,국내,바다,즉흥 여행,무조건 다 봄,코골이 함,기다림,"미국,그 외,국내","더움,건조함,상관없음","문화&역사체험,미식,휴식","상관없음,에어비엔비,게스트하우스",오전 10시 이후,100만원 이하,"이 사용자는 미국 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
556,매우 민감,매우 완고,많다,보통,리드하는편,3,둔감,매우 여유있게,해외,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"중국&몽골,유럽,그 외","습함,쌀쌀함,건조함","쇼핑,기록,자연감상","3성이하 호텔,펜션,에어비엔비",오전 10시 이후,200-300만원,"이 사용자는 그 외 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
557,매우 둔감,매우 수용적,적다,종종 늦음,무조건 리드,5,꽤 민감,꽤 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"중국&몽골,동남아,세계일주","추움,더움,습함","액티비티,도전과성장,미식","게스트하우스,민박,상관없음",오전 8-9시,300-400만원,"이 사용자는 중국&몽골 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 민박에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
558,매우 민감,다소 완고,많다,매우 정확,무조건 따름,3,꽤 민감,매우 빡빡하게,국내,산,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"미국,중국&몽골,그 외","더움,습함,상관없음","쇼핑,자연감상,기록","에어비엔비,펜션,민박",오전 8-9시,400만원 이상,"이 사용자는 중국&몽골 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",
559,꽤 민감,다소 완고,매우 적다,매우 정확,리드하는편,2,매우 민감,꽤 여유있게,해외,산,계획 여행,적당히 봄,코골이 안함,다른 곳 간다,"미국,일본,동남아","더움,습함,쌀쌀함","도전과성장,액티비티,휴식","4-5성급호텔,민박,콘도",오전 10시 이후,100만원 이하,"이 사용자는 동남아 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",
